[2025-08-18 12:50:56] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-08-18 12:50:56] Started worker 0 for 1 emails
[2025-08-18 12:50:56] Started worker 1 for 1 emails
[2025-08-18 12:50:56] Started worker 2 for 1 emails
[2025-08-18 12:50:56] Started worker 3 for 1 emails
[2025-08-18 12:50:56] Started worker 4 for 1 emails
[2025-08-18 12:50:56] Started worker 5 for 1 emails
[2025-08-18 12:50:56] Started worker 6 for 1 emails
[2025-08-18 12:50:56] Started worker 7 for 1 emails
[2025-08-18 12:50:56] Started worker 8 for 1 emails
[2025-08-18 12:50:56] Started worker 9 for 1 emails
[2025-08-18 12:50:56] Started worker 10 for 1 emails
[2025-08-18 12:50:56] Started worker 11 for 1 emails
[2025-08-18 12:50:56] Started worker 12 for 1 emails
[2025-08-18 12:50:56] Started worker 13 for 1 emails
[2025-08-18 12:50:56] Started worker 14 for 1 emails
[2025-08-18 12:50:56] Started worker 15 for 1 emails
[2025-08-18 12:50:56] Started worker 16 for 1 emails
[2025-08-18 12:50:56] Started worker 17 for 1 emails
[2025-08-18 12:50:56] Started worker 18 for 1 emails
[2025-08-18 12:50:56] Started worker 19 for 1 emails
[2025-08-18 12:50:56] Started worker 20 for 1 emails
[2025-08-18 12:50:56] Started worker 21 for 1 emails
[2025-08-18 12:50:56] Started worker 22 for 1 emails
[2025-08-18 12:50:56] Started worker 23 for 1 emails
[2025-08-18 12:50:56] Started worker 24 for 1 emails
[2025-08-18 12:50:56] Started worker 25 for 1 emails
[2025-08-18 12:50:56] Started worker 26 for 1 emails
[2025-08-18 12:50:56] Started worker 27 for 1 emails
[2025-08-18 12:50:56] Started worker 28 for 1 emails
[2025-08-18 12:50:56] Started worker 29 for 1 emails
[2025-08-18 12:50:56] Started worker 30 for 1 emails
[2025-08-18 12:50:56] Started worker 31 for 1 emails
[2025-08-18 12:50:56] Started worker 32 for 1 emails
[2025-08-18 12:50:56] Started worker 33 for 1 emails
[2025-08-18 12:50:56] Started worker 34 for 1 emails
[2025-08-18 12:50:56] Started worker 35 for 1 emails
[2025-08-18 12:50:56] Started worker 36 for 1 emails
[2025-08-18 12:50:56] Started worker 37 for 1 emails
[2025-08-18 12:50:56] Started worker 38 for 1 emails
[2025-08-18 12:50:56] Started worker 39 for 1 emails
[2025-08-18 12:50:56] Started worker 40 for 1 emails
[2025-08-18 12:50:56] Started worker 41 for 1 emails
[2025-08-18 12:50:56] Started worker 42 for 1 emails
[2025-08-18 12:50:56] Started worker 43 for 1 emails
[2025-08-18 12:50:56] Started worker 44 for 1 emails
[2025-08-18 12:50:56] Started worker 45 for 1 emails
[2025-08-18 12:50:56] Started worker 46 for 1 emails
